brand,brand_count,brand_logo
Ralph Lauren,543,https://i.pinimg.com/originals/b7/5b/94/b75b94b51a1e2da66312bd5950f919a1.jpg
Nike,367,http://cdn.shopify.com/s/files/1/1636/0487/products/300115_grande.jpg?v=1500049799
TOMS,327,https://findlogovector.com/wp-content/uploads/2019/01/toms-shoes-logo-vector.png
MUK LUKS,237,https://www.famousfootwear.com/Content/core/brand-logos/muk-luks.png
Easy Spirit,232,https://www.easyspirit.com/media/catalog/product/cache/image/600x806/e9c3970ab036de70892d86c6d221abfe/e/s/eslogo.png
Nine West,220,https://www.logolynx.com/images/logolynx/47/473ca8de016e463420b036dc882045a5.png
VANS,217,https://img1.cgtrader.com/items/664668/0406236046/vans-logo-3d-model-stl.jpg
Allegra K,185,https://pbs.twimg.com/profile_images/903464292753608704/F0qCmomv.jpg
New Balance,161,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/New_Balance_logo.svg/1200px-New_Balance_logo.svg.png
Unique Bargains,154,https://www.hummustir.com/wp-content/uploads/2018/05/Wal-MartLogo.jpg
